zp_m,df_hz
-3.9143464269588443e-07,-19.007153184702474
-3.9140964299632611e-07,-18.828058045983198
-3.913846432967678e-07,-18.635708443071053
-3.9135964359720948e-07,-18.508991672661068
-3.9133464389765116e-07,-18.301376769613853
-3.9130964419809285e-07,-18.132217860511446
-3.9128464449853453e-07,-17.982256395043805
-3.9125964479897622e-07,-17.836025278938905
-3.912346450994179e-07,-17.679855091046193
-3.9120964539985959e-07,-17.533905349864654
-3.9118464570030127e-07,-17.374999572439265
-3.9115964600074296e-07,-17.236961014077679
-3.9113464630118464e-07,-17.081012515518523
-3.9110964660162633e-07,-16.929050161706982
-3.9108464690206801e-07,-16.814388459351903
-3.9105964720250969e-07,-16.647172174089064
-3.9103464750295138e-07,-16.511377509687009
-3.9100964780339306e-07,-16.358292498352967
-3.9098464810383475e-07,-16.269049751826969
-3.9095964840427643e-07,-16.085373033547512
-3.9093464870471812e-07,-15.924145202461659
-3.909096490051598e-07,-15.823083288069029
-3.9088464930560149e-07,-15.695229649281828
-3.9085964960604317e-07,-15.529749930465186
-3.9083464990648486e-07,-15.392862451335532
-3.9080965020692654e-07,-15.278274645424972
-3.9078465050736822e-07,-15.172057032941666
-3.9075965080780991e-07,-15.056097879551089
-3.9073465110825159e-07,-14.918876445335627
-3.9070965140869328e-07,-14.816771454206901
-3.9068465170913496e-07,-14.703348938382987
-3.9065965200957665e-07,-14.591739727620734
-3.9063465231001833e-07,-14.472777820628835
-3.9060965261046002e-07,-14.384477253770456
-3.905846529109017e-07,-14.243138934944
-3.9055965321134339e-07,-14.128031011750863
-3.9053465351178507e-07,-14.022118932643934
-3.9050965381222675e-07,-13.908696416820021
-3.9048465411266844e-07,-13.812577037697338
-3.9045965441311012e-07,-13.704324430818815
-3.9043465471355181e-07,-13.606111792796582
-3.9040965501399349e-07,-13.527052544759499
-3.9038465531443518e-07,-13.422413758235052
-3.9035965561487686e-07,-13.311546354088932
-3.9033465591531855e-07,-13.185066904952691
-3.9030965621576023e-07,-13.104552465392771
-3.9028465651620192e-07,-13.014273747558036
-3.902596568166436e-07,-12.892996892333031
-3.9023465711708528e-07,-12.791895187547198
-3.9020965741752697e-07,-12.701373464096832
-3.9018465771796865e-07,-12.594053089287627
-3.9015965801841034e-07,-12.528609261153179
-3.9013465831885202e-07,-12.500532875492354
-3.9010965861929371e-07,-12.39485953874464
-3.9008465891973539e-07,-12.277656935566483
-3.9005965922017708e-07,-12.224077750033757
-3.9003465952061876e-07,-12.132410631693347
-3.9000965982106045e-07,-12.038816521453555
-3.8998466012150213e-07,-11.953187595281634
-3.8995966042194381e-07,-11.855638604174601
-3.899346607223855e-07,-11.784781861479132
-3.8990966102282718e-07,-11.692686996411794
-3.8988466132326887e-07,-11.624969431522914
-3.8985966162371055e-07,-11.564603141778207
-3.8983466192415224e-07,-11.478057615477155
-3.8980966222459392e-07,-11.393655086067156
-3.8978466252503561e-07,-11.323317039568792
-3.8975966282547729e-07,-11.236045338591794
-3.8973466312591898e-07,-11.233512964281545
-3.8970966342636066e-07,-11.181126069459424
-3.8968466372680234e-07,-11.077847261731222
-3.8965966402724403e-07,-11.035270119919005
-3.8963466432768571e-07,-10.975313102790096
-3.896096646281274e-07,-10.878567024974473
-3.8958466492856908e-07,-10.819947249274264
-3.8955966522901077e-07,-10.718326848291326
-3.8953466552945245e-07,-10.667312722034694
-3.8950966582989414e-07,-10.586022369807324
-3.8948466613033582e-07,-10.521046078793006
-3.8945966643077751e-07,-10.453591414716357
-3.8943466673121919e-07,-10.386925453076401
-3.8940966703166087e-07,-10.307252296115621
-3.8938466733210256e-07,-10.235748959530611
-3.8935966763254424e-07,-10.184264453982905
-3.8933466793298593e-07,-10.111405401858065
-3.8930966823342761e-07,-10.079573087296012
-3.892846685338693e-07,-9.9983779477952339
-3.8925966883431098e-07,-9.9299896305637958
