zp_m,df_hz
-3.9590293492901954e-07,-35.071967374733504
-3.9587793522946122e-07,-34.702513573847682
-3.9585293552990291e-07,-34.413342575589922
-3.9582793583034459e-07,-34.052222019909095
-3.9580293613078627e-07,-33.639243213201553
-3.9577793643122796e-07,-33.293609646989353
-3.9575293673166964e-07,-33.014600830938434
-3.9572793703211133e-07,-32.636346247727488
-3.9570293733255301e-07,-32.375064051848312
-3.956779376329947e-07,-31.96989979414866
-3.9565293793343638e-07,-31.642157694022899
-3.9562793823387807e-07,-31.303224545808916
-3.9560293853431975e-07,-31.008265466425655
-3.9557793883476144e-07,-30.708027054515696
-3.9555293913520312e-07,-30.366643954948813
-3.955279394356448e-07,-30.132675021832256
-3.9550293973608649e-07,-29.776109045087651
-3.9547794003652817e-07,-29.471132734215644
-3.9545294033696986e-07,-29.150979230507801
-3.9542794063741154e-07,-28.833224519075884
-3.9540294093785323e-07,-28.618060810003954
-3.9537794123829491e-07,-28.349818137485272
-3.953529415387366e-07,-28.015078612497746
-3.9532794183917828e-07,-27.781912592672597
-3.9530294213961997e-07,-27.474969499508006
-3.9527794244006165e-07,-27.243949318744853
-3.9525294274050333e-07,-27.011897429929377
-3.9522794304094502e-07,-26.785345141888683
-3.952029433413867e-07,-26.526915064550849
-3.9517794364182839e-07,-26.275530728980812
-3.9515294394227007e-07,-26.031706568119262
-3.9512794424271176e-07,-25.803693404213845
-3.9510294454315344e-07,-25.538246006817644
-3.9507794484359513e-07,-25.33707288421283
-3.9505294514403681e-07,-25.11781502789745
-3.950279454444785e-07,-24.912584706271446
-3.9500294574492018e-07,-24.628309347463073
-3.9497794604536186e-07,-24.391462716266687
-3.9495294634580355e-07,-24.167073320313648
-3.9492794664624523e-07,-23.94763072288697
-3.9490294694668692e-07,-23.724693676285824
-3.948779472471286e-07,-23.494249035138637
-3.9485294754757029e-07,-23.285208783363487
-3.9482794784801197e-07,-23.094258949640789
-3.9480294814845366e-07,-22.878519700952893
-3.9477794844889534e-07,-22.722440462530358
-3.9475294874933703e-07,-22.55773097203928
-3.9472794904977871e-07,-22.337081873047282
-3.9470294935022039e-07,-22.192301685208804
-3.9467794965066208e-07,-22.013200862147642
-3.9465294995110376e-07,-21.760412494131742
